iter	Passed	Remaining
0	1	131
1	2	121
2	3	115
3	4	108
4	5	108
5	6	107
6	7	106
7	9	104
8	10	102
9	11	101
10	12	99
11	13	98
12	14	97
13	15	96
14	16	95
15	17	94
16	19	92
17	20	91
18	21	90
19	22	89
20	23	87
21	24	87
22	25	86
23	26	84
24	27	83
25	29	82
26	30	81
27	31	80
28	32	79
29	33	78
30	34	77
31	36	76
32	37	75
33	38	74
34	39	73
35	40	72
36	41	70
37	42	69
38	43	68
39	44	67
40	46	66
41	46	64
42	47	63
43	48	61
44	49	60
45	50	59
46	52	58
47	53	57
48	54	56
49	55	55
50	56	54
51	57	53
52	58	52
53	59	50
54	60	49
55	61	48
56	62	47
57	63	46
58	65	45
59	66	44
60	67	43
61	68	41
62	69	40
63	70	39
64	71	38
65	72	37
66	74	36
67	75	35
68	76	34
69	77	33
70	78	32
71	79	30
72	80	29
73	81	28
74	82	27
75	83	26
76	85	25
77	86	24
78	87	23
79	88	22
80	89	20
81	90	19
82	91	18
83	92	17
84	94	16
85	95	15
86	96	14
87	97	13
88	98	12
89	99	11
90	101	10
91	102	8
92	103	7
93	105	6
94	106	5
95	107	4
96	108	3
97	109	2
98	110	1
99	111	0
